trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-159.39742009556343,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-129.3670622599636,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,6,-26.33864017159574,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-158.0728699244025,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-135.0901517760406,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-167.48214934358558,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-93.24708546832169,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-140.2363765313154,"{0: 8, 1: 0, 2: 11, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-153.63604874832012,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-40.17820687446562,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-128.3342020902715,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-256.22554785228016,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-54.54396249147712,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-23.647241588389658,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,1,-43.078044084448976,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,23.07185305818223,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-76.29928406590304,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-51.501897163397715,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,10,-61.72888889248688,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-119.30280816321066,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-25.00365161351933,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-73.90422464731313,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-79.4073464042573,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,3,-63.54443567938431,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,6,8.294408654924158,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-95.98513802780289,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-87.11275966480198,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,0,6.388373949939847,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,10,4.177348625909694,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,-68.33660251399623,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
