trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-45.61648921582537,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-175.57284873964812,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-46.17395370126333,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96}",25,0,-206.26269697358802,"{0: 12, 1: 2, 2: 5, 3: 4, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,0,-100.13898052189923,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.94}",20,0,-141.84437663106917,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-118.74230895388555,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,1,-87.72788617550003,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-47.39616482179032,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-222.42837692672583,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-71.72243920050632,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-249.37093281463356,"{0: 14, 1: 5, 2: 6, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-87.29051875603108,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-117.77665999922392,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-85.97720872966485,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-72.09822109309177,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,0,-67.01283208562975,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-46.91853242925842,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,13,10.303384187260015,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-112.75622285587438,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",30,0,-156.8929048502494,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",20,0,-163.76969237035837,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-208.90214783015912,"{0: 17, 1: 3, 2: 4, 3: 3, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",20,0,-92.26508987805589,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-143.47929107212272,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-132.85620838792298,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",20,14,-0.9754776222771313,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-70.68210617801257,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-52.58131468974553,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-85.16462910274052,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,0,-19.556700359592615,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-17.412105743456557,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,8,-25.2808029365974,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",20,6,-24.488804717715528,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,10,-55.60646590160711,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",20,0,-141.47898935841948,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-116.7318262870711,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,15,-47.92747321822382,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-108.81053895719785,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-52.58563402072741,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",25,0,-71.40825795646245,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-55.70042226431788,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,0,-29.537228866789032,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",30,0,-127.98088427617382,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,11,14.587592724346713,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,3,-69.8733022011197,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,0,-42.79071879580911,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,4,-108.2265637779436,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,11,-8.970283352823225,"{0: 11, 1: 2, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",30,5,-131.6425759843704,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",20,0,-30.73039700526977,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,0,-27.751862669269613,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",20,2,-40.70132621834234,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,0,-65.93598367397568,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",25,5,34.054257171450125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,13,-0.6891373501182416,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,13,6.141104128161644,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-30.00926969096809,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,0,-55.8935107572209,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,19,12.301043837512779,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,0,-25.04799824886948,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,2,10.831035524363989,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,0,-12.99343818205227,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,-4.675121234945809,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",25,14,-2.108556356897762,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",25,0,-18.211930302834155,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",20,0,-9.740870003594734,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,-4.807475043372564,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",20,16,5.640928887143671,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-27.658857773120303,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",25,0,6.038816171767932,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,11,14.179680226792755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
