trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,,OK Actions,Minor violations,Major Violations,Minor accidents,Major accidents
1,FALSE,"{'a': 0.5, 'e': 1.0}",35,0,-48.33299462,"{0: 26, 1: 5, 2: 3, 3: 1, 4: 0}",0,,26,5,3,1,0
2,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-92.88775776,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0,,13,2,2,2,1
3,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-132.5519014,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0,,12,1,4,1,2
4,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-96.04492411,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0,,17,2,3,2,1
5,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-78.80568766,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0,,11,1,8,0,0
6,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-142.5940398,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0,,10,3,4,1,2
7,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-167.1875691,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0,,11,0,6,0,3
8,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-137.6960867,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0,,15,1,5,3,1
9,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-97.30754418,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0,,12,0,7,0,1
10,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-113.8772985,"{0: 19, 1: 2, 2: 8, 3: 0, 4: 1}",0,,19,2,8,0,1
11,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-205.8369345,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0,,9,0,6,2,3
12,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-126.2865353,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0,,16,2,4,1,2
13,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-251.1336417,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0,,12,1,6,2,4
14,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-126.3182319,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0,,15,4,4,0,2
15,FALSE,"{'a': 0.5, 'e': 1.0}",25,0,-67.31643361,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0,,15,3,7,0,0
16,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-100.0408918,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0,,11,2,6,0,1
17,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-109.7633312,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0,,13,1,4,0,2
18,FALSE,"{'a': 0.5, 'e': 1.0}",20,0,-127.3767627,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0,,12,1,4,1,2
19,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-162.1994319,"{0: 17, 1: 3, 2: 5, 3: 4, 4: 1}",0,,17,3,5,4,1
20,FALSE,"{'a': 0.5, 'e': 1.0}",30,0,-220.3286017,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0,,15,3,8,1,3
1,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-187.5516174,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0,,12,2,7,2,2
2,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-58.69197601,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0,,12,2,6,0,0
3,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-73.23104098,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0,,11,3,5,1,0
4,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-72.43157324,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0,,14,0,5,0,1
5,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-47.88076333,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0,,12,3,5,0,0
6,TRUE,"{'a': 0.5, 'e': 1.0}",25,0,-186.2991498,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0,,12,3,6,2,2
7,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-238.1487524,"{0: 15, 1: 4, 2: 5, 3: 3, 4: 3}",0,,15,4,5,3,3
8,TRUE,"{'a': 0.5, 'e': 1.0}",20,0,-100.9172363,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0,,14,1,3,0,2
9,TRUE,"{'a': 0.5, 'e': 1.0}",30,0,-178.7550577,"{0: 13, 1: 7, 2: 6, 3: 3, 4: 1}",0,,13,7,6,3,1
10,TRUE,"{'a': 0.5, 'e': 1.0}",20,4,-74.31631735,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 1}",1,,12,0,1,2,1
